,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
517,2021-02-19,social,0.0045710267229254215,,0.6714717075851604,,
518,2021-02-22,social,0.033776688834441716,,0.6704401729998115,,
519,2021-02-23,social,-0.02149991535466401,,0.6693513309374988,,
520,2021-02-24,social,0.01055363321799307,,0.6685490262600051,,
521,2021-02-25,social,0.011470638589282687,,0.6678040290594754,,
522,2021-02-26,social,0.009140148950575477,,0.6659128823196692,,
523,2021-03-01,social,0.05367326400536738,87.9,,,
524,2021-03-02,social,0.016077682266793982,,,,
525,2021-03-03,social,0.005796647344508923,,,,
526,2021-03-04,social,0.00327102803738308,,,,
527,2021-03-05,social,0.005123428039124333,,,,
528,2021-03-08,social,-0.009731232622798819,,,,
529,2021-03-09,social,-0.004679457182966732,,,,
530,2021-03-10,social,-0.0031343049678734186,,,,
531,2021-03-11,social,-0.0061311114604622,,,,
532,2021-03-12,social,-0.011072445428661749,,,,
533,2021-03-15,social,0.01871401151631469,,,,
534,2021-03-16,social,0.015544041450777346,,,,
535,2021-03-17,social,0.023964131106988203,,,,
536,2021-03-18,social,0.011173184357541822,,,,
537,2021-03-19,social,0.015827982678811442,,,,
538,2021-03-22,social,0.0035278553579302496,,,,
539,2021-03-23,social,-0.013475904496850766,,,,
540,2021-03-24,social,-0.0890868596881959,,,,
541,2021-03-25,social,0.06780766096169526,,,,
542,2021-03-26,social,-0.0044268050679286556,,,,
543,2021-03-29,social,0.028672186445875568,,,,
544,2021-03-30,social,0.004322551796094679,,,,
545,2021-03-31,social,0.08444642327100027,,,,
546,2020-03-04,staple,0.017656351640182193,,,,
547,2020-03-05,staple,0.013788695096338151,,,,
548,2020-03-06,staple,0.0014411817690507189,,,,
549,2020-03-09,staple,-0.025993883792048932,,,,
550,2020-03-10,staple,0.0051712992889462375,,,,
551,2020-03-11,staple,-0.009738171796049501,,,,
552,2020-03-12,staple,0.0023193246126727894,,,,
553,2020-03-13,staple,0.014531654942613782,,,,
554,2020-03-16,staple,0.05574308913420308,,,,
555,2020-03-17,staple,0.03188731420670582,,,,
556,2020-03-18,staple,0.03441922787036261,,,,
557,2020-03-19,staple,0.031249999999999997,,,,
558,2020-03-20,staple,0.013581409954467093,,,,
559,2020-03-23,staple,-0.07892494771899938,,0.041842477801225415,,
560,2020-03-24,staple,-0.04389505549949545,,0.046782060940279556,,
561,2020-03-25,staple,-0.06314863676341255,,0.04968378915201091,,
562,2020-03-26,staple,-0.058392790086368745,,0.05114572855639465,,
563,2020-03-27,staple,-0.06171485543369888,,0.05369304721554812,,
564,2020-03-30,staple,-0.07342471575815532,,0.05714854035318241,,
565,2020-03-31,staple,-0.0052752293577982565,,0.05721499214429076,,
566,2020-04-01,staple,0.03228037814157265,73.3,0.07989720350927479,,3.1
